TF_NAME	FREQ_SUM	NUM_REGIONS	MOTIF/KB	STD_DEV
ARNTL	1.92660550459	2708	0.71144959549	0.00804763596119
ATF4	4.63840104327	8061	0.575412609263	0.00714137859546
ATF7	2.03539823009	2199	0.925601741741	0.00900305059282
BHLHE40	2.54628857381	6498	0.391857275133	0.0059566443486
CEBPB	4.0	4225	0.94674556213	0.0092288380209
CEBPD	0.642201834862	1277	0.502898852672	0.00677381739962
DBP	7.61126120078	11879	0.640732485965	0.00768595523277
EGR2	12.7844925519	23644	0.540707687022	0.00678528711088
ESRRA	21.872192637	32852	0.665779637071	0.00754628545156
ETS1	20.2097026326	34328	0.588723567718	0.00723310920959
FOSL1	5.63636363636	8706	0.647411398617	0.00764437310533
FOSL2	6.5211038961	11313	0.576425695757	0.00720263052625
FOXO1	23.137050254	47681	0.485246749313	0.00656936953889
ID1	11.5335931543	12785	0.902119136041	0.00900645802602
IRF3	15.6446047095	24785	0.631212616887	0.00734514879245
IRF7	10.0326607831	15312	0.655215568387	0.00760080330386
IRF9	2.35964912281	7600	0.310480147738	0.00520024223624
JUN	14.9385501545	17723	0.842890602859	0.00861952711046
JUNB	7.72823866165	10742	0.719441320206	0.00805705944181
JUND	19.640260562	31184	0.629818514686	0.00749217548148
MAFF	18.7689033311	24552	0.764455169888	0.00817448619782
MAFG	5.76315789474	10104	0.570383797975	0.00698339585944
MAFK	17.5378324498	28220	0.621468194535	0.00739510643079
MEIS1	14.6513723606	18323	0.799616458039	0.00833958541681
MNT	0.45871559633	2678	0.171290364574	0.0039604762286
MYC	1.46456882237	7977	0.183598949776	0.0040954307542
NFE2L2	5.93141945774	9171	0.646758200604	0.00754005361007
NFKB2	6.43196395226	8073	0.796725374986	0.00845907249852
NR1D1	12.2604261726	14841	0.826118602018	0.00849775856046
NR2F2	10.756302521	20091	0.535379150914	0.00679397147687
NR2F6	4.42477876106	8474	0.522159400645	0.00677762097476
PBX1	4.5508439474	9980	0.455996387515	0.00636507038731
RARA	14.0661767765	27005	0.520873052268	0.00666641091817
RARG	11.7347283761	17823	0.658403656853	0.00750873132417
RELA	28.7998316601	40848	0.705048757835	0.00797373983137
RXRA	14.0604701048	26860	0.523472453643	0.00712224652754
RXRB	5.21091445428	10534	0.494675759852	0.00659167929556
SMAD3	15.9229346603	34633	0.459761922453	0.00634639875496
SMAD6	1.26126126126	2884	0.437330534418	0.0062616203373
SMAD7	7.38738738739	6002	1.23082095758	0.0104580041463
SP1	55.9619164161	94471	0.59237137763	0.0071253274463
SREBF1	5.04587155963	6763	0.7460995948	0.00838939284939
STAT3	60.2558229633	91045	0.661824624782	0.00770960112431
STAT6	21.7086627951	28886	0.751528865025	0.00830180639807
TCF3	19.4932524972	38056	0.512225470286	0.00700162590024
TEAD1	11.9468051835	16583	0.720424843724	0.00812240817719
TEAD3	6.75119119594	11513	0.58639722018	0.00719931681674
THRA	8.11965811966	3214	2.52634042304	0.0146318132053
THRB	14.2060150336	10396	1.36648855653	0.0107317916376
YY1	60.2037210005	62884	0.957377409206	0.00916962030997
